plmn,nwkname,dormancy,mtu,codetype,subsetcode,spcode,spname,sim_slot
00101,Anritsu,on,1500,,,,,0
310160,T-Mobile,on,1500,HEX,,544D,,0
310200,T-Mobile,on,1500,HEX,,544D,,0
310210,T-Mobile,on,1500,HEX,,544D,,0
310220,T-Mobile,on,1500,HEX,,544D,,0
310230,T-Mobile,on,1500,HEX,,544D,,0
310240,T-Mobile,on,1500,HEX,,544D,,0
310250,T-Mobile,on,1500,HEX,,544D,,0
310260,T-Mobile,on,1500,HEX,,544D,,0
310270,T-Mobile,on,1500,HEX,,544D,,0
310310,T-Mobile,on,1500,HEX,,544D,,0
310490,T-Mobile,on,1500,HEX,,544D,,0
310660,T-Mobile,on,1500,HEX,,544D,,0
310800,T-Mobile,on,1500,HEX,,544D,,0
310160,T-Mobile,on,1500,,,,,0
310200,T-Mobile,on,1500,,,,,0
310210,T-Mobile,on,1500,,,,,0
310220,T-Mobile,on,1500,,,,,0
310230,T-Mobile,on,1500,,,,,0
310240,T-Mobile,on,1500,,,,,0
310250,T-Mobile,on,1500,,,,,0
310260,T-Mobile,on,1500,,,,,0
310270,T-Mobile,on,1500,,,,,0
310310,T-Mobile,on,1500,,,,,0
310490,T-Mobile,on,1500,,,,,0
310660,T-Mobile,on,1500,,,,,0
310800,T-Mobile,on,1500,,,,,0
99999,T-Mobile,on,1500,,,,,0
