name,pkgName,state,inheritedFlag,forcedFlag,enabledFlagByServer,enabledFlagByUser,enabled
boost_touch,com.google.android.gms,inherited,1,0,0,0,0
allow_more_heat,com.google.android.gms,inherited,1,0,0,0,0
resolution,com.google.android.gms,inherited,1,0,0,0,0
render_thread_affinity,com.google.android.gms,inherited,1,0,0,0,0
external_sdk,com.google.android.gms,inherited,1,0,0,0,0
wifi_qos,com.google.android.gms,inherited,1,0,0,0,0
md_switch_wifi,com.google.android.gms,inherited,1,0,0,0,0
auto_control,com.google.android.gms,inherited,1,0,0,0,0
limit_bg_network,com.google.android.gms,inherited,1,0,0,0,0
siop_mode,com.google.android.gms,inherited,1,0,0,0,0
gallery_cmh_stop,com.google.android.gms,inherited,1,0,0,0,0
clear_bg_process,com.google.android.gms,inherited,1,0,0,0,0
dfs,com.google.android.gms,inherited,1,0,0,0,0
gfi,com.google.android.gms,inherited,1,0,0,0,0
ipm,com.google.android.gms,inherited,1,0,0,0,0
tsp,com.google.android.gms,inherited,1,0,0,0,0
vrr,com.google.android.gms,inherited,1,0,0,0,0
governor_settings,com.google.android.gms,inherited,1,0,0,0,0
mdnie,com.google.android.gms,inherited,1,0,0,0,0
volume_control,com.google.android.gms,inherited,1,0,0,0,0
ringlog,com.google.android.gms,inherited,1,0,0,0,0
launch_boost,com.google.android.gms,inherited,1,0,0,0,0
resume_boost,com.google.android.gms,inherited,1,0,0,0,0
boost_touch,com.ea.game.nfs14_row,inherited,1,0,0,0,0
allow_more_heat,com.ea.game.nfs14_row,inherited,1,0,0,0,0
resolution,com.ea.game.nfs14_row,inherited,1,0,0,0,0
render_thread_affinity,com.ea.game.nfs14_row,inherited,1,0,0,0,0
external_sdk,com.ea.game.nfs14_row,inherited,1,0,0,0,0
wifi_qos,com.ea.game.nfs14_row,inherited,1,0,0,0,0
md_switch_wifi,com.ea.game.nfs14_row,inherited,1,0,0,0,0
auto_control,com.ea.game.nfs14_row,inherited,1,0,0,0,0
limit_bg_network,com.ea.game.nfs14_row,inherited,1,0,0,0,0
siop_mode,com.ea.game.nfs14_row,inherited,1,0,0,0,0
gallery_cmh_stop,com.ea.game.nfs14_row,inherited,1,0,0,0,0
clear_bg_process,com.ea.game.nfs14_row,inherited,1,0,0,0,0
dfs,com.ea.game.nfs14_row,inherited,1,0,0,0,0
gfi,com.ea.game.nfs14_row,inherited,1,0,0,0,0
ipm,com.ea.game.nfs14_row,inherited,1,0,0,0,0
tsp,com.ea.game.nfs14_row,inherited,1,0,0,0,0
vrr,com.ea.game.nfs14_row,inherited,1,0,0,0,0
governor_settings,com.ea.game.nfs14_row,inherited,1,0,0,0,0
mdnie,com.ea.game.nfs14_row,inherited,1,0,0,0,0
volume_control,com.ea.game.nfs14_row,inherited,1,0,0,0,0
ringlog,com.ea.game.nfs14_row,inherited,1,0,0,0,0
launch_boost,com.ea.game.nfs14_row,inherited,1,0,0,0,0
resume_boost,com.ea.game.nfs14_row,inherited,1,0,0,0,0
