downloadable_id,downloadable_item,downloadable_category,downloadable_data1,downloadable_data2,downloadable_data3,downloadable_data4,downloadable_data5
139,ProcessAvrcKey,1,90:03:b7,00:0e:9f,38:c0:96,30:14:4a,00:09:93
140,ProcessAvrcKey,2,34:c7:31,00:21:cc,00:23:3d,9c:df:03,9c:28:bf
141,ProcessAvrcKey,3,00:17:ca,00:26:b4,04:98:f3,e0:75:0a,ac:7a:4d
142,ProcessAvrcKey,4,00:0a:30,51:30:26,fc:62:b9,0c:d9:c1,60:f1:89
143,ProcessAvrcKey,5,9c:8d:7c,30:c3:d9,b8:d7:af,48:a9:d2,00:54:af
144,ProcessAvrcKey,6,74:95:ec,88:4a:ea,98:5d:ad,b8:24:10,a4:04:50
145,ProcessAvrcKey,7,74:d7:ca,d4:ca:6e,b8:9f:09,00:0a:08,
146,WaitBeforeCiev,1,00:26:b4,00:0e:9f,00:23:3d,e0:75:0a,9c:df:03
147,WaitBeforeCiev,2,34:c7:31,9c:28:bf,9c:8d:7c,,
148,AvrcAbsVolBlacklist,1,a0:e9:db,00:14:02,1c:48:f9,44:5e:f3,d4:9c:28
149,AvrcAbsVolBlacklist,2,00:18:6b,b8:ad:3e,00:11:b1,a4:15:66,e8:07:bf
150,AvrcAbsVolBlacklist,3,00:14:f1,00:26:7e,90:03:b7,a8:b9:b3,11:11:22
151,AvrcAbsVolBlacklist,4,b8:07:bf,00:17:77,f0:13:c3,d4:4c:28,00:1a:7d
152,AvrcAbsVolBlacklist,5,cc:c5:0a,30:21:86,00:01:95,,
153,AvcBlacklistWithBdName,1,00:00:00,HBS_810K,00:00:00,ER700,
154,AvcBlacklistWithBdName,2,00:00:00,PISnet_FreeGo,40:ef:4c,EDIFIER_S1000,
155,AvcBlacklistWithBdMfctLmp,1,00:1d:df,10,6:8648,,
156,AvcBlacklistWithBdMfctLmp,2,00:02:5b,10,6:8648,,
157,AvcBlacklistWithBdMfctLmp,3,f4:7b:5e,10,5:7856,,
158,AvcBlacklistWithBdMfctLmp,4,00:23:01,10,6:8648,,
159,AvcBlacklistWithBdMfctLmp,5,00:00:02,10,6:8648,,
160,AvcBlacklistWithBdMfctLmp,6,78:ab:bb,10,5:7856,,
161,AvcBlacklistWithBdMfctLmp,7,c0:7a:a5,10,6:8648,,
162,AvcBlacklistWithBdMfctLmp,8,f4:04:4c,10,6:8648,,
163,AvcBlacklistWithBdMfctLmp,9,00:6a:8e,10,6:8648,,
164,AvcBlacklistWithBdMfctLmp,10,a4:77:58,10,6:8648,,
165,AvcBlacklistWithBdMfctLmp,11,d0:bd:01,10,6:8648,,
166,AvcBlacklistWithBdMfctLmp,12,13:17:11,10,7:8648,,
167,AvcBlacklistWithBdMfctLmp,13,e9:08:ef,10,6:8648,,
168,AvcBlacklistWithBdMfctLmp,14,c0:7a:b5,10,6:8648,,
169,AvcBlacklistWithBdMfctLmp,15,fc:58:fa,10,6:8648,,
170,AvcBlacklistWithBdMfctLmp,16,eb:06:ef,10,6:8648,,
171,AvcBlacklistWithBdMfctLmp,17,00:00:03,10,6:8648,,
172,AvcBlacklistWithBdMfctLmp,18,00:00:01,10,6:8648,,
173,AvcBlacklistWithBdMfctLmp,19,a0:5a:a5,10,6:8648,,
174,AvcBlacklistWithBdMfctLmp,20,00:12:6f,10,6:8648,,
175,AvcBlacklistWithBdMfctLmp,21,40:ef:4c,10,6:8648,,
176,AvcBlacklistWithBdMfctLmp,22,00:22:37,10,5:7213,,
177,AvcBlacklistWithBdMfctLmp,23,0c:e0:e4,10,6:10400,,
178,AvcBlacklistWithBdMfctLmp,24,bc:30:7e,72,5:31714,,
179,AvoidAvScalable,1,BlueBuds_X,Jaybird_X2,PLT_BBFIT,Echo-*,
180,AvoidAvScalable,2,TOYOTA_Corolla,BZ-T7800,Uconnect,MTC,
181,DisableAacCodec,1,00:14:0a,e0:ee:1b,94:b2:cc,,
182,DisableAacCodecWithName,1,Spigen_R12S,Maruti_Suzuki,MAXCOM,Defunc_BT,
183,DisableMixSongFolder,1,a0:6f:aa,,,,
184,FeatureChecker,1,dummy,,,,
